с 2026-09-18T00:00:00, всего веса 26.4M
 63.6%  d--Claud-Games | главная | sonnet-5  запросов 912  кэш 108.6M  запись1ч 1.7M  запись5м 0.0M  вывод 0.5M  картинок 0  контекст до 167k
 15.5%  d--Claud-Games | developer | sonnet-5  запросов 444  кэш 26.5M  запись1ч 0.0M  запись5м 1.0M  вывод 0.0M  картинок 0  контекст до 166k
 11.2%  d--Claud-Games | tester | haiku-4-5-20251001  запросов 379  кэш 17.0M  запись1ч 0.0M  запись5м 1.0M  вывод 0.0M  картинок 0  контекст до 116k
  3.4%  d--Claud-Games | tester | sonnet-5  запросов 83  кэш 6.9M  запись1ч 0.0M  запись5м 0.1M  вывод 0.0M  картинок 0  контекст до 142k
  2.9%  d--Claud-Games | reviewer | sonnet-5  запросов 92  кэш 3.6M  запись1ч 0.0M  запись5м 0.3M  вывод 0.0M  картинок 0  контекст до 102k
  2.1%  d--Claud-Games | Explore | sonnet-5  запросов 45  кэш 1.9M  запись1ч 0.0M  запись5м 0.2M  вывод 0.0M  картинок 0  контекст до 77k
  0.6%  d--Claud-amazon-ppc-autopilot | главная | sonnet-5  запросов 5  кэш 0.3M  запись1ч 0.0M  запись5м 0.0M  вывод 0.0M  картинок 0  контекст до 71k
  0.3%  d--Claud-Games | смотритель | sonnet-5  запросов 10  кэш 0.1M  запись1ч 0.0M  запись5м 0.1M  вывод 0.0M  картинок 0  контекст до 13k
  0.3%  d--Claud-news | главная | opus-5  запросов 1  кэш 0.0M  запись1ч 0.0M  запись5м 0.0M  вывод 0.0M  картинок 0  контекст до 29k
  0.2%  d--Claud-Games | designer | sonnet-5  запросов 9  кэш 0.2M  запись1ч 0.0M  запись5м 0.0M  вывод 0.0M  картинок 0  контекст до 26k
по дням: 2026-09-17 23% · 2026-09-18 77%
